Values,Frequency,Weights
17,6420,0.08943372570871352
18,6367,0.08869540990457617
16,5589,0.07785749111931461
19,5299,0.07381764992686494
20,4538,0.06321654941840217
15,4333,0.06036079960994637
14,3422,0.04767012607090618
21,3380,0.0470850456223445
8,3379,0.04707111513547398
12,3288,0.04580344083025702
13,3184,0.04435467019572334
11,3026,0.04215365327018179
7,2895,0.04032875949014418
9,2835,0.039492930277913216
23,2750,0.03830883889391934
10,2617,0.0364560841401407
22,2286,0.031845092985999864
24,1887,0.026286828724663928
6,1667,0.02322212161315038
5,898,0.012509577209723479
1,533,0.007424949501985094
2,435,0.006059761788674514
4,406,0.005655777669429546
3,351,0.004889600891551159
