Values,Frequency,Weights
16,32541,0.09082358326262671
15,30076,0.08394364310275533
17,29738,0.08300026794087438
14,26687,0.07448477202697272
8,25169,0.07024795695083284
7,24455,0.06825514669762872
12,23969,0.06689869602107802
18,23712,0.06618139597195552
11,23406,0.06532733443486805
13,23213,0.06478866163533246
10,20768,0.057964542490957
9,20406,0.05695418211048096
19,16154,0.04508663421604966
6,12036,0.033593087125440985
20,10180,0.028412896887420176
21,6001,0.016749095699548966
5,3492,0.009746349305586568
22,2983,0.008325704461215559
23,1242,0.0034664850622962533
4,740,0.0020653775733488144
24,490,0.0013676148796498905
3,372,0.0010382708882239985
1,244,0.0006810163890501496
2,214,0.0005972848658062788
