Values,Frequency,Weights
16,2218,0.08956911521221177
15,2165,0.08742882526349796
17,1984,0.0801195331744942
14,1890,0.07632354722771878
8,1783,0.07200258450107014
12,1704,0.06881234099260994
11,1665,0.06723741065299035
7,1655,0.0668335823607802
13,1629,0.0657836288010338
18,1572,0.06348180753543593
10,1453,0.05867625085813512
9,1447,0.05843395388280903
19,1072,0.04329039292492832
6,799,0.032265880547591164
20,649,0.02620845616443888
21,410,0.01655695998061624
5,215,0.008682308282518274
22,200,0.008076565844203045
23,111,0.00448249404353269
4,55,0.0022210556071558373
24,35,0.001413399022735533
3,24,0.0009691879013043654
2,16,0.0006461252675362436
1,12,0.0004845939506521827
