Values,Frequency,Weights
30,47431,0.1684668525457742
25,46902,0.1665879344332167
35,40806,0.1449359782627999
40,32806,0.1165213376192083
45,25100,0.08915093501926868
20,24681,0.08766271821556057
50,19489,0.06922161643786962
55,15029,0.05338045427906729
60,11201,0.039784048731108704
65,7629,0.027096911683745048
70,4717,0.016753982489477702
75,2993,0.010630627430783711
80,1597,0.005672272638476975
85,708,0.0025146956969578577
90,312,0.0011081709851000728
95,117,0.0004155641194125273
100,27,9.589941217212168e-05
