Date,DriverID,Year,Month_of_Year,Day_of_Week,Time_of_Day,EV_Model,Battery_Capacity(kWh),Category,Mean_Energy_Consumption(kWh/100km),Max_DC_Power(kW),Status,Starting_SoC,Ending_SoC,Charger_Type,Charger_Power(kW),Charging_Time(mins),Consumption_Charging(kW),Trip_Time(mins),Trip_Distance(km),Trip_Consumption(kwh)
2020-01-01,DR1,2020,1,3,1,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,2,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,3,BMW iX3,80.0,3,18.8,150,1,0.25,0.39,3 phase-16A per phase,11.0,60.0,11.0,,,
2020-01-01,DR1,2020,1,3,4,BMW iX3,80.0,3,18.8,150,1,0.39,0.53,3 phase-16A per phase,11.0,60.0,11.0,,,
2020-01-01,DR1,2020,1,3,5,BMW iX3,80.0,3,18.8,150,1,0.53,0.66,3 phase-16A per phase,11.0,60.0,11.0,,,
2020-01-01,DR1,2020,1,3,6,BMW iX3,80.0,3,18.8,150,1,0.66,0.8,3 phase-16A per phase,11.0,60.0,11.0,,,
2020-01-01,DR1,2020,1,3,7,BMW iX3,80.0,3,18.8,150,1,0.8,0.94,3 phase-16A per phase,11.0,60.0,11.0,,,
2020-01-01,DR1,2020,1,3,8,BMW iX3,80.0,3,18.8,150,1,0.94,1.0,3 phase-16A per phase,11.0,27.0,4.95,,,
2020-01-01,DR1,2020,1,3,9,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,10,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,11,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,12,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,13,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,14,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,15,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,16,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,17,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,18,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,19,BMW iX3,80.0,3,18.8,150,2,1.0,0.95,,,,,60.0,20.0,3.76
2020-01-01,DR1,2020,1,3,20,BMW iX3,80.0,3,18.8,150,2,0.95,0.9,,,,,60.0,20.0,3.76
2020-01-01,DR1,2020,1,3,21,BMW iX3,80.0,3,18.8,150,2,0.9,0.85,,,,,60.0,20.0,3.76
2020-01-01,DR1,2020,1,3,22,BMW iX3,80.0,3,18.8,150,2,0.85,0.8,,,,,60.0,20.0,3.76
2020-01-01,DR1,2020,1,3,23,BMW iX3,80.0,3,18.8,150,2,0.8,0.75,,,,,60.0,20.0,3.76
2020-01-01,DR1,2020,1,3,24,BMW iX3,80.0,3,18.8,150,2,0.75,0.7,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,1,BMW iX3,80.0,3,18.8,150,2,0.7,0.65,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,2,BMW iX3,80.0,3,18.8,150,2,0.65,0.6,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,3,BMW iX3,80.0,3,18.8,150,2,0.6,0.55,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,4,BMW iX3,80.0,3,18.8,150,2,0.55,0.5,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,5,BMW iX3,80.0,3,18.8,150,2,0.5,0.45,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,6,BMW iX3,80.0,3,18.8,150,2,0.45,0.4,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,7,BMW iX3,80.0,3,18.8,150,2,0.4,0.35,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,8,BMW iX3,80.0,3,18.8,150,2,0.35,0.3,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,9,BMW iX3,80.0,3,18.8,150,2,0.3,0.25,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,10,BMW iX3,80.0,3,18.8,150,2,0.25,0.2,,,,,60.0,20.0,3.76
2020-01-02,DR1,2020,1,4,11,BMW iX3,80.0,3,18.8,150,2,0.2,0.17,,,,,40.0,13.33,3.0
2020-01-02,DR1,2020,1,4,12,BMW iX3,80.0,3,18.8,150,1,0.17,0.26,Single phase 32A,7.4,60.0,7.4,,,
2020-01-02,DR1,2020,1,4,13,BMW iX3,80.0,3,18.8,150,1,0.26,0.33,Single phase 32A,7.4,44.0,5.43,,,
2020-01-02,DR1,2020,1,4,14,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-02,DR1,2020,1,4,15,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-02,DR1,2020,1,4,16,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-02,DR1,2020,1,4,17,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-02,DR1,2020,1,4,18,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-02,DR1,2020,1,4,19,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-02,DR1,2020,1,4,20,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-02,DR1,2020,1,4,21,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-02,DR1,2020,1,4,22,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-02,DR1,2020,1,4,23,BMW iX3,80.0,3,18.8,150,2,0.33,0.27,,,,,60.0,25.0,4.7
2020-01-02,DR1,2020,1,4,24,BMW iX3,80.0,3,18.8,150,2,0.27,0.17,,,,,43.0,17.92,3.0
2020-01-03,DR1,2020,1,5,1,BMW iX3,80.0,3,18.8,150,1,0.17,0.79,3 phase-DC,50.0,60.0,50.0,,,
2020-01-03,DR1,2020,1,5,2,BMW iX3,80.0,3,18.8,150,1,0.79,1.0,3 phase-DC,50.0,20.0,16.67,,,
2020-01-03,DR1,2020,1,5,3,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,4,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,5,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,6,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,7,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,8,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,9,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,10,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,11,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,12,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,13,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,14,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,15,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,16,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,17,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,18,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,19,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,20,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,21,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,22,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,23,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
2020-01-03,DR1,2020,1,5,24,BMW iX3,80.0,3,18.8,150,0,,,,,,,,,
