Date,DriverID,Year,Month_of_Year,Day_of_Week,Time_of_Day,EV_Model,Battery_Capacity(kWh),Category,Mean_Energy_Consumption(kWh/100km),Max_DC_Power(kW),Status,Starting_SoC,Ending_SoC,Charger_Type,Charger_Power(kW),Charging_Time(mins),Consumption_Charging(kW),Trip_Time(mins),Trip_Distance(km),Trip_Consumption(kwh)
2020-01-01,DR1,2020,1,3,1,Mercedes-Benz EQC,80.0,3,21.85,110,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,2,Mercedes-Benz EQC,80.0,3,21.85,110,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,3,Mercedes-Benz EQC,80.0,3,21.85,110,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,4,Mercedes-Benz EQC,80.0,3,21.85,110,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,5,Mercedes-Benz EQC,80.0,3,21.85,110,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,6,Mercedes-Benz EQC,80.0,3,21.85,110,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,7,Mercedes-Benz EQC,80.0,3,21.85,110,1,0.67,0.83,3 phase-60A per phase,43.0,18.0,12.9,,,
2020-01-01,DR1,2020,1,3,8,Mercedes-Benz EQC,80.0,3,21.85,110,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,9,Mercedes-Benz EQC,80.0,3,21.85,110,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,10,Mercedes-Benz EQC,80.0,3,21.85,110,2,0.83,0.71,,,,,60.0,45.0,9.83
2020-01-01,DR1,2020,1,3,11,Mercedes-Benz EQC,80.0,3,21.85,110,2,0.71,0.59,,,,,60.0,45.0,9.83
2020-01-01,DR1,2020,1,3,12,Mercedes-Benz EQC,80.0,3,21.85,110,2,0.59,0.47,,,,,60.0,45.0,9.83
2020-01-01,DR1,2020,1,3,13,Mercedes-Benz EQC,80.0,3,21.85,110,2,0.47,0.35,,,,,60.0,45.0,9.83
