Date,DriverID,Year,Month_of_Year,Day_of_Week,Time_of_Day,EV_Model,Battery_Capacity(kWh),Category,Mean_Energy_Consumption(kWh/100km),Max_DC_Power(kW),Status,Starting_SoC,Ending_SoC,Charger_Type,Charger_Power(kW),Charging_Time(mins),Consumption_Charging(kW),Trip_Time(mins),Trip_Distance(km),Trip_Consumption(kwh)
2020-01-01,DR1,2020,1,3,1,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,2,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,3,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,4,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,5,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,6,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,7,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,8,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,9,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,10,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,11,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,12,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,13,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,14,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
2020-01-01,DR1,2020,1,3,15,Volkswagen ID.3 Pro S,77.0,3,15.9,125,0,,,,,,,,,
