Date,DriverID,Year,Month_of_Year,Day_of_Week,Time_of_Day,EV_Model,Battery_Capacity(kWh),Category,Mean_Energy_Consumption(kWh/100km),Max_DC_Power(kW),Status,Starting_SoC,Ending_SoC,Charger_Type,Charger_Power(kW),Charging_Time(mins),Consumption_Charging(kW),Trip_Time(mins),Trip_Distance(km),Trip_Consumption(kwh)
2020-01-01,DR3,2020,1,3,1,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,2,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,3,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,4,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,5,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,6,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,7,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,8,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,9,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,10,Tesla Model 3 Performance,75.0,3,16.6,150,1,0.75,0.85,Single phase 32A,7.4,60,7.4,,,
2020-01-01,DR3,2020,1,3,11,Tesla Model 3 Performance,75.0,3,16.6,150,1,0.85,0.95,Single phase 32A,7.4,60,7.4,,,
2020-01-01,DR3,2020,1,3,12,Tesla Model 3 Performance,75.0,3,16.6,150,1,0.95,1.0,Single phase 32A,7.4,32,3.95,,,
2020-01-01,DR3,2020,1,3,13,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,14,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,15,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,16,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,17,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,18,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,19,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,20,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,21,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,22,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,23,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-01,DR3,2020,1,3,24,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-02,DR3,2020,1,4,1,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-02,DR3,2020,1,4,2,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-02,DR3,2020,1,4,3,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-02,DR3,2020,1,4,4,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-02,DR3,2020,1,4,5,Tesla Model 3 Performance,75.0,3,16.6,150,0,,,,,,,,,
2020-01-02,DR3,2020,1,4,6,Tesla Model 3 Performance,75.0,3,16.6,150,2,1.0,0.93,,,,,60,30,4.98
2020-01-02,DR3,2020,1,4,7,Tesla Model 3 Performance,75.0,3,16.6,150,2,0.93,0.86,,,,,60,30,4.98
2020-01-02,DR3,2020,1,4,8,Tesla Model 3 Performance,75.0,3,16.6,150,2,0.86,0.79,,,,,60,30,4.98
2020-01-02,DR3,2020,1,4,9,Tesla Model 3 Performance,75.0,3,16.6,150,2,0.79,0.72,,,,,60,30,4.98
2020-01-02,DR3,2020,1,4,10,Tesla Model 3 Performance,75.0,3,16.6,150,2,0.72,0.65,,,,,60,30,4.98
2020-01-02,DR3,2020,1,4,11,Tesla Model 3 Performance,75.0,3,16.6,150,2,0.65,0.58,,,,,60,30,4.98
