Date,DriverID,Year,Month_of_Year,Day_of_Week,Time_of_Day,EV_Model,Battery_Capacity(kWh),Category,Mean_Energy_Consumption(kWh/100km),Max_DC_Power(kW),Status,Starting_SoC,Ending_SoC,Charger_Type,Charger_Power(kW),Charging_Time(mins),Consumption_Charging(kW),Trip_Time(mins),Trip_Distance(km),Trip_Consumption(kwh)
2020-01-01,DR8,2020,1,3,1,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,2,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,3,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,4,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,5,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,6,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,7,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,8,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,9,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,10,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,11,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,12,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,13,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,14,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,15,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,16,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,17,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,18,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,19,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,20,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-01,DR8,2020,1,3,21,Opel Mokka-e,50.0,2,17.6,100,1,0.25,0.47,3 phase-16A per phase,11.0,60,11.0,,,
2020-01-01,DR8,2020,1,3,22,Opel Mokka-e,50.0,2,17.6,100,1,0.47,0.69,3 phase-16A per phase,11.0,60,11.0,,,
2020-01-01,DR8,2020,1,3,23,Opel Mokka-e,50.0,2,17.6,100,1,0.69,0.91,3 phase-16A per phase,11.0,60,11.0,,,
2020-01-01,DR8,2020,1,3,24,Opel Mokka-e,50.0,2,17.6,100,1,0.91,0.92,3 phase-16A per phase,11.0,3,0.55,,,
2020-01-02,DR8,2020,1,4,1,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,2,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,3,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,4,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,5,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,6,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,7,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,8,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,9,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,10,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,11,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,12,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,13,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,14,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,15,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,16,Opel Mokka-e,50.0,2,17.6,100,2,0.92,0.67,,,,,17,15.58,3
2020-01-02,DR8,2020,1,4,17,Opel Mokka-e,50.0,2,17.6,100,1,0.67,0.73,Regular electricity socket 13A,3.0,60,3.0,,,
2020-01-02,DR8,2020,1,4,18,Opel Mokka-e,50.0,2,17.6,100,1,0.73,0.79,Regular electricity socket 13A,3.0,60,3.0,,,
2020-01-02,DR8,2020,1,4,19,Opel Mokka-e,50.0,2,17.6,100,1,0.79,0.83,Regular electricity socket 13A,3.0,40,2.0,,,
2020-01-02,DR8,2020,1,4,20,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,21,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,22,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,23,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-02,DR8,2020,1,4,24,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,1,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,2,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,3,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,4,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,5,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,6,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,7,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,8,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,9,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,10,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,11,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,12,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,13,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,14,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,15,Opel Mokka-e,50.0,2,17.6,100,2,0.83,0.69,,,,,60,40,7.04
2020-01-03,DR8,2020,1,5,16,Opel Mokka-e,50.0,2,17.6,100,2,0.69,0.5,,,,,20,13.33,2
2020-01-03,DR8,2020,1,5,17,Opel Mokka-e,50.0,2,17.6,100,1,0.5,0.72,3 phase-16A per phase,11.0,60,11.0,,,
2020-01-03,DR8,2020,1,5,18,Opel Mokka-e,50.0,2,17.6,100,1,0.72,0.75,3 phase-16A per phase,11.0,8,1.47,,,
2020-01-03,DR8,2020,1,5,19,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,20,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,21,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,22,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,23,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-03,DR8,2020,1,5,24,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,1,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,2,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,3,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,4,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,5,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,6,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,7,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,8,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,9,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,10,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,11,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,12,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,13,Opel Mokka-e,50.0,2,17.6,100,0,,,,,,,,,
2020-01-04,DR8,2020,1,6,14,Opel Mokka-e,50.0,2,17.6,100,2,0.75,0.58,,,,,37,18.5,3
2020-01-04,DR8,2020,1,6,15,Opel Mokka-e,50.0,2,17.6,100,1,0.58,0.64,Regular electricity socket 13A,3.0,60,3.0,,,
2020-01-04,DR8,2020,1,6,16,Opel Mokka-e,50.0,2,17.6,100,1,0.64,0.7,Regular electricity socket 13A,3.0,60,3.0,,,
2020-01-04,DR8,2020,1,6,17,Opel Mokka-e,50.0,2,17.6,100,1,0.7,0.76,Regular electricity socket 13A,3.0,60,3.0,,,
2020-01-04,DR8,2020,1,6,18,Opel Mokka-e,50.0,2,17.6,100,1,0.76,0.82,Regular electricity socket 13A,3.0,60,3.0,,,
