Date,Year,Month_of_Year,Day_of_Week,Time_of_Day,Lignite_Gen(MW),FossilGas_Gen(MW),Solar_Gen(MW),Wind_Gen(MW),Total_Load(MW),Import_Export(MW)
2020-01-01,2020,1,3,1,1771.0,2514.0,0,906.0,4992.0,-199.0
2020-01-01,2020,1,3,2,2346.0,1143.0,0,248.0,4911.0,1174.0
2020-01-01,2020,1,3,3,1746.0,957.0,0,910.0,5293.0,1680.0
2020-01-01,2020,1,3,4,2006.0,1636.0,0,105.0,4901.0,1154.0
2020-01-01,2020,1,3,5,1904.0,1084.0,0,498.0,4629.0,1143.0
2020-01-01,2020,1,3,6,1195.0,1052.0,0,789.0,4808.0,1772.0
2020-01-01,2020,1,3,7,1520.0,1740.0,0,309.0,5493.0,1924.0
2020-01-01,2020,1,3,8,1645.0,2385.0,266.0,747.0,7031.0,1988.0
2020-01-01,2020,1,3,9,1767.0,3727.0,86.0,313.0,7737.0,1844.0
2020-01-01,2020,1,3,10,1702.0,3588.0,676.0,1416.0,8192.0,810.0
2020-01-01,2020,1,3,11,1337.0,2876.0,512.0,978.0,7378.0,1675.0
2020-01-01,2020,1,3,12,2597.0,2876.0,1113.0,902.0,7958.0,470.0
2020-01-01,2020,1,3,13,2099.0,4060.0,455.0,271.0,7201.0,316.0
2020-01-01,2020,1,3,14,1787.0,1906.0,1229.0,997.0,8639.0,2720.0
2020-01-01,2020,1,3,15,1443.0,3068.0,304.0,105.0,7380.0,2460.0
2020-01-01,2020,1,3,16,1398.0,4125.0,269.0,532.0,7969.0,1645.0
2020-01-01,2020,1,3,17,2241.0,2807.0,28.0,1261.0,7380.0,1043.0
2020-01-01,2020,1,3,18,2249.0,3663.0,16.0,233.0,7209.0,1048.0
2020-01-01,2020,1,3,19,2508.0,1637.0,0,524.0,7221.0,2552.0
2020-01-01,2020,1,3,20,2058.0,3966.0,13.0,1125.0,8639.0,1477.0
2020-01-01,2020,1,3,21,1649.0,2716.0,0,127.0,8101.0,3609.0
2020-01-01,2020,1,3,22,1540.0,3023.0,0,1390.0,7391.0,1438.0
2020-01-01,2020,1,3,23,1422.0,3116.0,0,1133.0,6711.0,1040.0
2020-01-01,2020,1,3,24,2289.0,1366.0,0,1239.0,5952.0,1058.0
2020-01-02,2020,1,4,1,1536.0,1035.0,0,509.0,4966.0,1886.0
2020-01-02,2020,1,4,2,2694.0,1277.0,0,785.0,5341.0,585.0
2020-01-02,2020,1,4,3,2265.0,957.0,0,195.0,5432.0,2015.0
2020-01-02,2020,1,4,4,2480.0,1277.0,0,1541.0,4567.0,-731.0
2020-01-02,2020,1,4,5,1783.0,1462.0,0,1114.0,5115.0,756.0
2020-01-02,2020,1,4,6,2285.0,1895.0,0,377.0,5892.0,1335.0
2020-01-02,2020,1,4,7,2192.0,1740.0,0,89.0,6092.0,2071.0
2020-01-02,2020,1,4,8,1524.0,3631.0,58.0,736.0,6642.0,693.0
2020-01-02,2020,1,4,9,2589.0,1885.0,498.0,755.0,7655.0,1928.0
2020-01-02,2020,1,4,10,1937.0,3418.0,1203.0,914.0,8214.0,742.0
2020-01-02,2020,1,4,11,2115.0,2036.0,1639.0,547.0,7227.0,890.0
2020-01-02,2020,1,4,12,1426.0,1200.0,727.0,656.0,7270.0,3261.0
2020-01-02,2020,1,4,13,1706.0,2045.0,527.0,800.0,7210.0,2132.0
2020-01-02,2020,1,4,14,2062.0,2951.0,243.0,898.0,7284.0,1130.0
2020-01-02,2020,1,4,15,1665.0,2901.0,203.0,551.0,7671.0,2351.0
2020-01-02,2020,1,4,16,1471.0,2645.0,54.0,218.0,7625.0,3237.0
2020-01-02,2020,1,4,17,1106.0,2959.0,38.0,350.0,7255.0,2802.0
2020-01-02,2020,1,4,18,1588.0,4272.0,16.0,1216.0,7909.0,817.0
2020-01-02,2020,1,4,19,1969.0,2652.0,0,554.0,7466.0,2291.0
2020-01-02,2020,1,4,20,2176.0,3238.0,13.0,596.0,7737.0,1714.0
2020-01-02,2020,1,4,21,2354.0,3880.0,0,970.0,8080.0,876.0
2020-01-02,2020,1,4,22,1613.0,3167.0,0,37.0,7164.0,2347.0
2020-01-02,2020,1,4,23,2188.0,3265.0,0,785.0,6289.0,51.0
2020-01-02,2020,1,4,24,2330.0,2284.0,0,237.0,5966.0,1115.0
2020-01-03,2020,1,5,1,2253.0,1573.0,0,1571.0,5712.0,315.0
2020-01-03,2020,1,5,2,1791.0,1814.0,0,645.0,4964.0,714.0
2020-01-03,2020,1,5,3,1370.0,831.0,0,33.0,5343.0,3109.0
2020-01-03,2020,1,5,4,1702.0,1277.0,0,67.0,5057.0,2011.0
2020-01-03,2020,1,5,5,2160.0,1966.0,0,1583.0,5068.0,-641.0
2020-01-03,2020,1,5,6,2050.0,1895.0,0,267.0,5900.0,1688.0
2020-01-03,2020,1,5,7,2127.0,1380.0,0,951.0,6463.0,2005.0
2020-01-03,2020,1,5,8,2237.0,3987.0,335.0,445.0,7421.0,417.0
2020-01-03,2020,1,5,9,1467.0,3225.0,452.0,842.0,7046.0,1060.0
2020-01-03,2020,1,5,10,1366.0,3588.0,676.0,127.0,8140.0,2383.0
2020-01-03,2020,1,5,11,1933.0,2204.0,1414.0,1371.0,6970.0,48.0
2020-01-03,2020,1,5,12,1755.0,1032.0,1344.0,282.0,7613.0,3200.0
2020-01-03,2020,1,5,13,1499.0,3724.0,1611.0,294.0,7117.0,-11.0
2020-01-03,2020,1,5,14,2066.0,1036.0,440.0,694.0,7254.0,3018.0
2020-01-03,2020,1,5,15,2099.0,1235.0,506.0,214.0,7394.0,3340.0
2020-01-03,2020,1,5,16,1678.0,2974.0,215.0,1174.0,7764.0,1723.0
2020-01-03,2020,1,5,17,1491.0,2655.0,0,101.0,7765.0,3518.0
2020-01-03,2020,1,5,18,1378.0,3663.0,16.0,902.0,7223.0,1264.0
2020-01-03,2020,1,5,19,1467.0,2362.0,0,67.0,7338.0,3442.0
2020-01-03,2020,1,5,20,2026.0,4257.0,13.0,660.0,8245.0,1289.0
2020-01-03,2020,1,5,21,1313.0,2716.0,0,441.0,8070.0,3600.0
2020-01-03,2020,1,5,22,2281.0,3023.0,0,267.0,6358.0,787.0
2020-01-03,2020,1,5,23,1629.0,1177.0,0,728.0,6252.0,2718.0
2020-01-03,2020,1,5,24,1795.0,1497.0,0,105.0,6046.0,2649.0
2020-01-04,2020,1,6,1,1507.0,2245.0,0,581.0,5154.0,821.0
2020-01-04,2020,1,6,2,2087.0,740.0,0,1091.0,5830.0,1912.0
2020-01-04,2020,1,6,3,2338.0,1209.0,0,1129.0,5136.0,460.0
2020-01-04,2020,1,6,4,2346.0,318.0,0,604.0,4823.0,1555.0
2020-01-04,2020,1,6,5,1856.0,705.0,0,354.0,4988.0,2073.0
2020-01-04,2020,1,6,6,1544.0,2176.0,0,932.0,5672.0,1020.0
2020-01-04,2020,1,6,7,2075.0,1019.0,0,766.0,5168.0,1308.0
2020-01-04,2020,1,6,8,2374.0,2919.0,93.0,577.0,6334.0,371.0
2020-01-04,2020,1,6,9,2172.0,1717.0,178.0,853.0,7194.0,2274.0
2020-01-04,2020,1,6,10,2018.0,2565.0,1137.0,827.0,6864.0,317.0
2020-01-04,2020,1,6,11,1439.0,2204.0,587.0,1314.0,7661.0,2117.0
2020-01-04,2020,1,6,12,1994.0,2541.0,419.0,1469.0,6987.0,564.0
2020-01-04,2020,1,6,13,2241.0,2045.0,816.0,392.0,7348.0,1854.0
2020-01-04,2020,1,6,14,2366.0,1036.0,703.0,963.0,6945.0,1877.0
2020-01-04,2020,1,6,15,1657.0,1735.0,608.0,607.0,6979.0,2372.0
2020-01-04,2020,1,6,16,2200.0,3632.0,108.0,929.0,6103.0,-766.0
2020-01-04,2020,1,6,17,2577.0,2502.0,35.0,445.0,6762.0,1203.0
2020-01-04,2020,1,6,18,1819.0,3053.0,16.0,449.0,7394.0,2057.0
2020-01-04,2020,1,6,19,2241.0,3812.0,0,732.0,8122.0,1337.0
2020-01-04,2020,1,6,20,2127.0,3238.0,13.0,282.0,7918.0,2258.0
2020-01-04,2020,1,6,21,2314.0,3880.0,0,566.0,7289.0,529.0
2020-01-04,2020,1,6,22,1467.0,2157.0,0,845.0,6808.0,2339.0
2020-01-04,2020,1,6,23,1682.0,2668.0,0,993.0,6907.0,1564.0
2020-01-04,2020,1,6,24,1390.0,1497.0,0,728.0,5683.0,2068.0
2020-01-05,2020,1,7,1,1661.0,900.0,0,464.0,5622.0,2597.0
2020-01-05,2020,1,7,2,2111.0,1680.0,0,528.0,5342.0,1023.0
2020-01-05,2020,1,7,3,1941.0,1083.0,0,691.0,4945.0,1230.0
2020-01-05,2020,1,7,4,2228.0,1516.0,0,600.0,4988.0,644.0
2020-01-05,2020,1,7,5,1281.0,2093.0,0,1223.0,4916.0,319.0
2020-01-05,2020,1,7,6,1872.0,2317.0,0,214.0,4888.0,485.0
2020-01-05,2020,1,7,7,2058.0,1019.0,0,418.0,4868.0,1373.0
2020-01-05,2020,1,7,8,1686.0,2028.0,249.0,823.0,5512.0,726.0
2020-01-05,2020,1,7,9,1965.0,3895.0,452.0,687.0,5793.0,-1206.0
2020-01-05,2020,1,7,10,2613.0,3418.0,478.0,1367.0,6026.0,-1850.0
2020-01-05,2020,1,7,11,1953.0,1531.0,1264.0,1375.0,7325.0,1202.0
2020-01-05,2020,1,7,12,1609.0,1870.0,881.0,271.0,6864.0,2233.0
2020-01-05,2020,1,7,13,2634.0,1877.0,1394.0,1012.0,6726.0,-191.0
2020-01-05,2020,1,7,14,2500.0,2951.0,835.0,418.0,7342.0,638.0
2020-01-05,2020,1,7,15,1831.0,3234.0,304.0,691.0,6682.0,622.0
2020-01-05,2020,1,7,16,2026.0,2809.0,296.0,142.0,6735.0,1462.0
2020-01-05,2020,1,7,17,2160.0,3111.0,10.0,369.0,6281.0,631.0
2020-01-05,2020,1,7,18,2139.0,4272.0,16.0,362.0,7589.0,800.0
2020-01-05,2020,1,7,19,2095.0,4247.0,0,158.0,7412.0,912.0
2020-01-05,2020,1,7,20,1665.0,3092.0,13.0,721.0,7998.0,2507.0
2020-01-05,2020,1,7,21,2334.0,2716.0,0,1091.0,7116.0,975.0
2020-01-05,2020,1,7,22,2638.0,2590.0,0,517.0,6614.0,869.0
2020-01-05,2020,1,7,23,1333.0,2817.0,0,823.0,6193.0,1220.0
2020-01-05,2020,1,7,24,1609.0,2153.0,0,120.0,5348.0,1466.0
2020-01-06,2020,1,1,1,2346.0,1304.0,0,278.0,5059.0,1131.0
2020-01-06,2020,1,1,2,2573.0,740.0,0,233.0,4733.0,1187.0
2020-01-06,2020,1,1,3,1746.0,1966.0,0,1428.0,4833.0,-307.0
2020-01-06,2020,1,1,4,1220.0,1037.0,0,600.0,4558.0,1701.0
2020-01-06,2020,1,1,5,2763.0,1084.0,0,638.0,4572.0,87.0
2020-01-06,2020,1,1,6,1597.0,1614.0,0,1613.0,5358.0,534.0
2020-01-06,2020,1,1,7,2249.0,1199.0,0,1537.0,6360.0,1375.0
2020-01-06,2020,1,1,8,1268.0,2206.0,197.0,290.0,5040.0,1079.0
2020-01-06,2020,1,1,9,1341.0,2387.0,727.0,21.0,7646.0,3170.0
2020-01-06,2020,1,1,10,2103.0,1712.0,215.0,403.0,8100.0,3667.0
2020-01-06,2020,1,1,11,1329.0,3044.0,1264.0,868.0,7624.0,1119.0
2020-01-06,2020,1,1,12,1989.0,2541.0,1421.0,619.0,7676.0,1106.0
2020-01-06,2020,1,1,13,2540.0,2045.0,310.0,331.0,7468.0,2242.0
2020-01-06,2020,1,1,14,1755.0,2080.0,637.0,1537.0,6272.0,263.0
2020-01-06,2020,1,1,15,2804.0,3734.0,962.0,1129.0,7130.0,-1499.0
2020-01-06,2020,1,1,16,1548.0,2151.0,242.0,1473.0,7143.0,1729.0
2020-01-06,2020,1,1,17,2119.0,3568.0,70.0,1594.0,7248.0,-103.0
2020-01-06,2020,1,1,18,1779.0,3510.0,16.0,672.0,7741.0,1764.0
2020-01-06,2020,1,1,19,1220.0,3377.0,0,687.0,8428.0,3144.0
2020-01-06,2020,1,1,20,2788.0,3092.0,13.0,554.0,7703.0,1256.0
2020-01-06,2020,1,1,21,1264.0,2571.0,0,1216.0,7944.0,2893.0
2020-01-06,2020,1,1,22,1370.0,2446.0,0,804.0,5930.0,1310.0
2020-01-06,2020,1,1,23,1698.0,2817.0,0,842.0,7334.0,1977.0
2020-01-06,2020,1,1,24,1515.0,1759.0,0,1019.0,5159.0,866.0
2020-01-07,2020,1,2,1,1135.0,1169.0,0,290.0,5380.0,2786.0
2020-01-07,2020,1,2,2,2241.0,1814.0,0,1484.0,5302.0,-237.0
2020-01-07,2020,1,2,3,1694.0,1083.0,0,222.0,5122.0,2123.0
2020-01-07,2020,1,2,4,1957.0,1396.0,0,706.0,5707.0,1648.0
2020-01-07,2020,1,2,5,2075.0,1336.0,0,1416.0,5013.0,186.0
2020-01-07,2020,1,2,6,1394.0,208.0,0,418.0,5744.0,3724.0
2020-01-07,2020,1,2,7,2281.0,1199.0,0,316.0,4979.0,1183.0
2020-01-07,2020,1,2,8,2488.0,2919.0,127.0,1515.0,5253.0,-1796.0
