Date,Year,Month_of_Year,Day_of_Week,Time_of_Day,Lignite_Gen(MW),FossilGas_Gen(MW),Solar_Gen(MW),Wind_Gen(MW),Total_Load(MW),Import_Export(MW)
2020-01-01,2020,1,3,1,1664.0,1352.0,0,691.0,5357.0,1650.0
2020-01-01,2020,1,3,2,2196.0,2100.0,0,1093.0,5336.0,-53.0
2020-01-01,2020,1,3,3,2314.0,1821.0,0,501.0,4694.0,58.0
2020-01-01,2020,1,3,4,1542.0,1416.0,0,259.0,4936.0,1719.0
2020-01-01,2020,1,3,5,2254.0,1837.0,0,49.0,4655.0,515.0
2020-01-01,2020,1,3,6,1478.0,139.0,0,111.0,5512.0,3784.0
2020-01-01,2020,1,3,7,1560.0,1865.0,0,1370.0,6220.0,1425.0
2020-01-01,2020,1,3,8,2302.0,2083.0,119.0,46.0,5899.0,1349.0
2020-01-01,2020,1,3,9,2721.0,1728.0,562.0,716.0,7817.0,2090.0
2020-01-01,2020,1,3,10,1502.0,3514.0,1170.0,481.0,8124.0,1457.0
2020-01-01,2020,1,3,11,2189.0,2568.0,402.0,1212.0,8296.0,1925.0
2020-01-01,2020,1,3,12,2675.0,1305.0,997.0,535.0,7012.0,1500.0
2020-01-01,2020,1,3,13,2411.0,2049.0,1101.0,1337.0,7105.0,207.0
2020-01-01,2020,1,3,14,1339.0,1085.0,272.0,1330.0,5740.0,1714.0
2020-01-01,2020,1,3,15,1353.0,1262.0,602.0,1445.0,7556.0,2894.0
2020-01-01,2020,1,3,16,1996.0,3344.0,223.0,214.0,7235.0,1458.0
2020-01-01,2020,1,3,17,2037.0,4040.0,33.0,1193.0,8779.0,1476.0
2020-01-01,2020,1,3,18,1926.0,3685.0,0,291.0,7126.0,1224.0
2020-01-01,2020,1,3,19,2813.0,3825.0,0,373.0,7581.0,570.0
2020-01-01,2020,1,3,20,2384.0,2731.0,0,502.0,8638.0,3021.0
2020-01-01,2020,1,3,21,2213.0,2315.0,0,1558.0,6233.0,147.0
2020-01-01,2020,1,3,22,1855.0,2414.0,0,24.0,6258.0,1965.0
2020-01-01,2020,1,3,23,1561.0,2140.0,0,442.0,5856.0,1713.0
2020-01-01,2020,1,3,24,2474.0,1915.0,0,882.0,5680.0,409.0
2020-01-02,2020,1,4,1,1401.0,1536.0,0,644.0,5295.0,1714.0
2020-01-02,2020,1,4,2,2320.0,926.0,0,1506.0,5228.0,476.0
2020-01-02,2020,1,4,3,1943.0,1576.0,0,381.0,4804.0,904.0
2020-01-02,2020,1,4,4,1422.0,1089.0,0,204.0,5052.0,2337.0
2020-01-02,2020,1,4,5,2628.0,1393.0,0,1062.0,5454.0,371.0
2020-01-02,2020,1,4,6,1958.0,2489.0,0,376.0,5973.0,1150.0
2020-01-02,2020,1,4,7,1376.0,1229.0,0,1095.0,6464.0,2764.0
2020-01-02,2020,1,4,8,2607.0,2351.0,50.0,539.0,6611.0,1064.0
2020-01-02,2020,1,4,9,2452.0,3067.0,376.0,216.0,7292.0,1181.0
2020-01-02,2020,1,4,10,1361.0,3787.0,513.0,1462.0,7943.0,820.0
2020-01-02,2020,1,4,11,2252.0,3843.0,1052.0,720.0,7858.0,-9.0
2020-01-02,2020,1,4,12,1688.0,3792.0,1277.0,356.0,8270.0,1157.0
2020-01-02,2020,1,4,13,1901.0,3757.0,1332.0,1109.0,7324.0,-775.0
2020-01-02,2020,1,4,14,2236.0,2162.0,271.0,824.0,6838.0,1345.0
2020-01-02,2020,1,4,15,1865.0,3491.0,269.0,171.0,7345.0,1549.0
2020-01-02,2020,1,4,16,1879.0,3329.0,403.0,156.0,6957.0,1190.0
2020-01-02,2020,1,4,17,2534.0,2496.0,8.0,225.0,7167.0,1904.0
2020-01-02,2020,1,4,18,2315.0,2023.0,0,351.0,7863.0,3174.0
