Date,Year,Month_of_Year,Day_of_Week,Time_of_Day,Lignite_Gen(MW),FossilGas_Gen(MW),Solar_Gen(MW),Wind_Gen(MW),Total_Load(MW),Import_Export(MW)
2020-01-01,2020,1,3,1,5.0,1634.0,3473.0,495.0,2167.0,-3440.0
2020-01-01,2020,1,3,2,6.0,1325.0,3358.0,758.0,1931.0,-3516.0
2020-01-01,2020,1,3,3,10.0,926.0,183.0,116.0,621.0,-614.0
2020-01-01,2020,1,3,4,6.0,908.0,1392.0,55.0,779.0,-1582.0
2020-01-01,2020,1,3,5,10.0,605.0,465.0,1301.0,637.0,-1744.0
2020-01-01,2020,1,3,6,7.0,929.0,3657.0,321.0,1586.0,-3328.0
2020-01-01,2020,1,3,7,12.0,1542.0,198.0,752.0,1484.0,-1020.0
2020-01-01,2020,1,3,8,8.0,1193.0,172.0,1198.0,976.0,-1595.0
2020-01-01,2020,1,3,9,6.0,1114.0,3962.0,220.0,1840.0,-3462.0
2020-01-01,2020,1,3,10,8.0,260.0,716.0,1350.0,399.0,-1935.0
2020-01-01,2020,1,3,11,3.0,1319.0,690.0,317.0,1127.0,-1202.0
2020-01-01,2020,1,3,12,9.0,759.0,946.0,1369.0,797.0,-2286.0
2020-01-01,2020,1,3,13,5.0,1150.0,2049.0,104.0,1248.0,-2060.0
2020-01-01,2020,1,3,14,4.0,847.0,201.0,411.0,498.0,-965.0
2020-01-01,2020,1,3,15,6.0,952.0,2970.0,135.0,1280.0,-2783.0
2020-01-01,2020,1,3,16,10.0,931.0,168.0,615.0,824.0,-900.0
2020-01-01,2020,1,3,17,4.0,1160.0,165.0,826.0,888.0,-1267.0
2020-01-01,2020,1,3,18,4.0,1606.0,1558.0,391.0,1684.0,-1875.0
2020-01-01,2020,1,3,19,4.0,822.0,171.0,727.0,521.0,-1203.0
2020-01-01,2020,1,3,20,18.0,955.0,392.0,312.0,1148.0,-529.0
2020-01-01,2020,1,3,21,6.0,910.0,592.0,36.0,473.0,-1071.0
2020-01-01,2020,1,3,22,5.0,915.0,169.0,1296.0,740.0,-1645.0
2020-01-01,2020,1,3,23,6.0,1037.0,3791.0,156.0,1665.0,-3325.0
2020-01-01,2020,1,3,24,8.0,899.0,2745.0,1457.0,1138.0,-3971.0
2020-01-02,2020,1,4,1,8.0,1506.0,468.0,1214.0,1299.0,-1897.0
2020-01-02,2020,1,4,2,6.0,1192.0,3010.0,752.0,1718.0,-3242.0
2020-01-02,2020,1,4,3,16.0,405.0,285.0,605.0,537.0,-774.0
2020-01-02,2020,1,4,4,8.0,573.0,261.0,1393.0,572.0,-1663.0
2020-01-02,2020,1,4,5,4.0,867.0,205.0,289.0,408.0,-957.0
2020-01-02,2020,1,4,6,5.0,1345.0,4099.0,293.0,2117.0,-3625.0
2020-01-02,2020,1,4,7,6.0,1075.0,3936.0,520.0,1867.0,-3670.0
2020-01-02,2020,1,4,8,8.0,279.0,947.0,855.0,348.0,-1741.0
2020-01-02,2020,1,4,9,10.0,731.0,177.0,1079.0,701.0,-1296.0
2020-01-02,2020,1,4,10,6.0,945.0,4066.0,177.0,1700.0,-3494.0
2020-01-02,2020,1,4,11,11.0,1188.0,174.0,828.0,1109.0,-1092.0
2020-01-02,2020,1,4,12,6.0,547.0,180.0,1009.0,459.0,-1283.0
2020-01-02,2020,1,4,13,7.0,316.0,468.0,1232.0,394.0,-1629.0
2020-01-02,2020,1,4,14,5.0,1257.0,2178.0,237.0,1453.0,-2224.0
2020-01-02,2020,1,4,15,7.0,822.0,379.0,1451.0,746.0,-1913.0
2020-01-02,2020,1,4,16,5.0,1042.0,1034.0,1476.0,1060.0,-2497.0
2020-01-02,2020,1,4,17,6.0,1291.0,3087.0,383.0,1775.0,-2992.0
2020-01-02,2020,1,4,18,7.0,1178.0,178.0,1260.0,966.0,-1657.0
2020-01-02,2020,1,4,19,18.0,1489.0,401.0,353.0,1615.0,-646.0
2020-01-02,2020,1,4,20,11.0,1575.0,297.0,908.0,1457.0,-1334.0
2020-01-02,2020,1,4,21,5.0,793.0,978.0,291.0,634.0,-1433.0
2020-01-02,2020,1,4,22,13.0,742.0,185.0,878.0,754.0,-1064.0
2020-01-02,2020,1,4,23,4.0,951.0,528.0,675.0,846.0,-1312.0
2020-01-02,2020,1,4,24,5.0,1290.0,3740.0,239.0,1920.0,-3354.0
2020-01-03,2020,1,5,1,10.0,940.0,178.0,1102.0,820.0,-1410.0
2020-01-03,2020,1,5,2,13.0,956.0,196.0,809.0,951.0,-1023.0
2020-01-03,2020,1,5,3,6.0,1127.0,2993.0,209.0,1512.0,-2823.0
2020-01-03,2020,1,5,4,17.0,727.0,262.0,385.0,868.0,-523.0
2020-01-03,2020,1,5,5,2.0,1547.0,171.0,490.0,1226.0,-984.0
2020-01-03,2020,1,5,6,6.0,614.0,753.0,1257.0,677.0,-1953.0
2020-01-03,2020,1,5,7,17.0,1541.0,243.0,279.0,1635.0,-445.0
2020-01-03,2020,1,5,8,6.0,1003.0,850.0,976.0,1069.0,-1766.0
2020-01-03,2020,1,5,9,13.0,825.0,228.0,903.0,842.0,-1127.0
2020-01-03,2020,1,5,10,3.0,1183.0,169.0,201.0,582.0,-974.0
2020-01-03,2020,1,5,11,10.0,373.0,190.0,1069.0,424.0,-1218.0
2020-01-03,2020,1,5,12,9.0,523.0,3539.0,1109.0,1078.0,-4102.0
2020-01-03,2020,1,5,13,8.0,524.0,178.0,1174.0,518.0,-1366.0
2020-01-03,2020,1,5,14,9.0,1078.0,176.0,1071.0,933.0,-1401.0
2020-01-03,2020,1,5,15,6.0,863.0,2535.0,75.0,1023.0,-2456.0
2020-01-03,2020,1,5,16,7.0,884.0,3685.0,199.0,1475.0,-3300.0
2020-01-03,2020,1,5,17,8.0,836.0,722.0,1419.0,797.0,-2188.0
2020-01-03,2020,1,5,18,6.0,1242.0,186.0,1378.0,1011.0,-1801.0
2020-01-03,2020,1,5,19,8.0,718.0,192.0,1318.0,660.0,-1576.0
2020-01-03,2020,1,5,20,4.0,676.0,179.0,950.0,499.0,-1310.0
2020-01-03,2020,1,5,21,8.0,225.0,1208.0,1436.0,427.0,-2450.0
2020-01-03,2020,1,5,22,6.0,823.0,724.0,49.0,476.0,-1126.0
2020-01-03,2020,1,5,23,5.0,974.0,278.0,1496.0,843.0,-1910.0
2020-01-03,2020,1,5,24,10.0,725.0,463.0,1224.0,726.0,-1696.0
2020-01-04,2020,1,6,1,3.0,1300.0,174.0,32.0,628.0,-881.0
2020-01-04,2020,1,6,2,5.0,1297.0,2128.0,279.0,1472.0,-2237.0
2020-01-04,2020,1,6,3,14.0,1607.0,198.0,483.0,1631.0,-671.0
2020-01-04,2020,1,6,4,15.0,984.0,191.0,136.0,951.0,-375.0
2020-01-04,2020,1,6,5,6.0,1128.0,3568.0,188.0,1709.0,-3181.0
2020-01-04,2020,1,6,6,5.0,1234.0,2791.0,460.0,1644.0,-2846.0
2020-01-04,2020,1,6,7,6.0,587.0,189.0,1425.0,550.0,-1657.0
2020-01-04,2020,1,6,8,7.0,1018.0,2462.0,1484.0,1211.0,-3760.0
2020-01-04,2020,1,6,9,7.0,746.0,3679.0,100.0,1232.0,-3300.0
2020-01-04,2020,1,6,10,3.0,1270.0,173.0,524.0,951.0,-1019.0
2020-01-04,2020,1,6,11,4.0,898.0,753.0,540.0,760.0,-1435.0
2020-01-04,2020,1,6,12,9.0,1149.0,169.0,1031.0,968.0,-1390.0
2020-01-04,2020,1,6,13,14.0,851.0,182.0,628.0,904.0,-771.0
2020-01-04,2020,1,6,14,8.0,1305.0,170.0,49.0,862.0,-670.0
2020-01-04,2020,1,6,15,5.0,780.0,169.0,839.0,542.0,-1251.0
2020-01-04,2020,1,6,16,16.0,779.0,238.0,518.0,886.0,-665.0
2020-01-04,2020,1,6,17,4.0,973.0,242.0,131.0,530.0,-820.0
2020-01-04,2020,1,6,18,12.0,987.0,172.0,223.0,858.0,-536.0
2020-01-04,2020,1,6,19,7.0,635.0,2265.0,1264.0,948.0,-3223.0
2020-01-04,2020,1,6,20,9.0,1366.0,188.0,1039.0,1206.0,-1396.0
2020-01-04,2020,1,6,21,19.0,1219.0,470.0,261.0,1426.0,-543.0
2020-01-04,2020,1,6,22,6.0,1223.0,3742.0,354.0,1890.0,-3435.0
2020-01-04,2020,1,6,23,5.0,708.0,269.0,1348.0,676.0,-1654.0
2020-01-04,2020,1,6,24,8.0,975.0,167.0,912.0,829.0,-1233.0
2020-01-05,2020,1,7,1,7.0,1037.0,1593.0,1471.0,1081.0,-3027.0
2020-01-05,2020,1,7,2,7.0,579.0,2290.0,1272.0,910.0,-3238.0
2020-01-05,2020,1,7,3,6.0,814.0,205.0,1385.0,721.0,-1689.0
2020-01-05,2020,1,7,4,7.0,486.0,2029.0,178.0,566.0,-2134.0
2020-01-05,2020,1,7,5,5.0,918.0,229.0,136.0,491.0,-797.0
2020-01-05,2020,1,7,6,6.0,575.0,855.0,467.0,460.0,-1443.0
2020-01-05,2020,1,7,7,10.0,330.0,3509.0,817.0,868.0,-3798.0
2020-01-05,2020,1,7,8,4.0,1255.0,658.0,87.0,903.0,-1101.0
2020-01-05,2020,1,7,9,5.0,641.0,189.0,929.0,507.0,-1257.0
2020-01-05,2020,1,7,10,7.0,422.0,1903.0,663.0,609.0,-2386.0
2020-01-05,2020,1,7,11,4.0,831.0,362.0,810.0,699.0,-1308.0
2020-01-05,2020,1,7,12,5.0,1073.0,1123.0,123.0,881.0,-1443.0
2020-01-05,2020,1,7,13,7.0,1084.0,576.0,1388.0,969.0,-2086.0
2020-01-05,2020,1,7,14,12.0,589.0,181.0,871.0,652.0,-1001.0
2020-01-05,2020,1,7,15,10.0,380.0,662.0,1360.0,502.0,-1910.0
2020-01-05,2020,1,7,16,9.0,899.0,883.0,1342.0,887.0,-2246.0
2020-01-05,2020,1,7,17,10.0,1015.0,169.0,901.0,898.0,-1197.0
2020-01-05,2020,1,7,18,9.0,1207.0,176.0,1132.0,1018.0,-1506.0
2020-01-05,2020,1,7,19,7.0,733.0,1891.0,83.0,741.0,-1973.0
2020-01-05,2020,1,7,20,10.0,132.0,989.0,1329.0,320.0,-2140.0
2020-01-05,2020,1,7,21,7.0,1077.0,3824.0,707.0,1846.0,-3769.0
2020-01-05,2020,1,7,22,7.0,883.0,2556.0,1419.0,1143.0,-3722.0
2020-01-05,2020,1,7,23,4.0,1354.0,1101.0,445.0,1305.0,-1599.0
2020-01-05,2020,1,7,24,5.0,832.0,1335.0,730.0,900.0,-2002.0
2020-01-06,2020,1,1,1,7.0,568.0,1825.0,1324.0,828.0,-2896.0
2020-01-06,2020,1,1,2,7.0,574.0,1874.0,1085.0,858.0,-2682.0
2020-01-06,2020,1,1,3,19.0,1146.0,436.0,172.0,1302.0,-471.0
2020-01-06,2020,1,1,4,8.0,792.0,3782.0,1158.0,1385.0,-4355.0
2020-01-06,2020,1,1,5,6.0,1126.0,3740.0,172.0,1750.0,-3294.0
2020-01-06,2020,1,1,6,9.0,1046.0,1082.0,1348.0,1022.0,-2463.0
2020-01-06,2020,1,1,7,7.0,1121.0,1713.0,1501.0,1167.0,-3175.0
2020-01-06,2020,1,1,8,5.0,1047.0,196.0,35.0,449.0,-834.0
2020-01-06,2020,1,1,9,5.0,840.0,173.0,1306.0,704.0,-1620.0
2020-01-06,2020,1,1,10,6.0,1068.0,2208.0,1024.0,1408.0,-2898.0
2020-01-06,2020,1,1,11,5.0,990.0,1360.0,82.0,851.0,-1586.0
2020-01-06,2020,1,1,12,10.0,394.0,3910.0,1172.0,965.0,-4521.0
2020-01-06,2020,1,1,13,18.0,1407.0,311.0,252.0,1536.0,-452.0
2020-01-06,2020,1,1,14,17.0,1628.0,316.0,301.0,1754.0,-508.0
2020-01-06,2020,1,1,15,5.0,643.0,798.0,208.0,377.0,-1277.0
2020-01-06,2020,1,1,16,4.0,1325.0,171.0,31.0,577.0,-954.0
2020-01-06,2020,1,1,17,6.0,1109.0,3709.0,167.0,1718.0,-3273.0
2020-01-06,2020,1,1,18,11.0,492.0,362.0,1238.0,565.0,-1538.0
