"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Greece (GR)","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","n/e","2838","n/e","1377","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","400"
"Greece (GR)","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","n/e","2850","n/e","1231","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","381"
"Greece (GR)","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","n/e","2834","n/e","1047","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","391"
"Greece (GR)","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","n/e","2762","n/e","889","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","355"
"Greece (GR)","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","n/e","2578","n/e","965","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","360"
"Greece (GR)","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","n/e","2560","n/e","1013","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","330"
"Greece (GR)","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","n/e","2594","n/e","1056","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","n/e","n/e","278"
"Greece (GR)","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","n/e","2554","n/e","1236","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","209","n/e","n/e","249"
"Greece (GR)","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","n/e","2392","n/e","1420","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","547","n/e","n/e","204"
"Greece (GR)","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","n/e","2188","n/e","1590","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","889","n/e","n/e","163"
"Greece (GR)","01.01.2017 10:00 - 01.01.2017 11:00 (CET)","n/e","2237","n/e","1617","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1123","n/e","n/e","130"
"Greece (GR)","01.01.2017 11:00 - 01.01.2017 12:00 (CET)","n/e","2259","n/e","1669","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1210","n/e","n/e","99"
"Greece (GR)","01.01.2017 12:00 - 01.01.2017 13:00 (CET)","n/e","2084","n/e","1651","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1161","n/e","n/e","78"
"Greece (GR)","01.01.2017 13:00 - 01.01.2017 14:00 (CET)","n/e","1949","n/e","1536","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","966","n/e","n/e","65"
"Greece (GR)","01.01.2017 14:00 - 01.01.2017 15:00 (CET)","n/e","1904","n/e","1965","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","619","n/e","n/e","63"
"Greece (GR)","01.01.2017 15:00 - 01.01.2017 16:00 (CET)","n/e","1917","n/e","2536","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","233","n/e","n/e","74"
"Greece (GR)","01.01.2017 16:00 - 01.01.2017 17:00 (CET)","n/e","1960","n/e","2848","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","n/e","n/e","85"
"Greece (GR)","01.01.2017 17:00 - 01.01.2017 18:00 (CET)","n/e","2032","n/e","2869","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","90"
"Greece (GR)","01.01.2017 18:00 - 01.01.2017 19:00 (CET)","n/e","2198","n/e","2852","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","103"
"Greece (GR)","01.01.2017 19:00 - 01.01.2017 20:00 (CET)","n/e","2359","n/e","2841","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","114"
"Greece (GR)","01.01.2017 20:00 - 01.01.2017 21:00 (CET)","n/e","2248","n/e","2791","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","131"
"Greece (GR)","01.01.2017 21:00 - 01.01.2017 22:00 (CET)","n/e","2422","n/e","2601","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","141"
"Greece (GR)","01.01.2017 22:00 - 01.01.2017 23:00 (CET)","n/e","2502","n/e","2355","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","152"
"Greece (GR)","01.01.2017 23:00 - 02.01.2017 00:00 (CET)","n/e","2467","n/e","2164","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","162"
"Greece (GR)","02.01.2017 00:00 - 02.01.2017 01:00 (CET)","n/e","2360","n/e","1534","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","212"
"Greece (GR)","02.01.2017 01:00 - 02.01.2017 02:00 (CET)","n/e","2134","n/e","1674","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","235"
"Greece (GR)","02.01.2017 02:00 - 02.01.2017 03:00 (CET)","n/e","2041","n/e","1576","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","252"
"Greece (GR)","02.01.2017 03:00 - 02.01.2017 04:00 (CET)","n/e","1949","n/e","1441","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","285"
"Greece (GR)","02.01.2017 04:00 - 02.01.2017 05:00 (CET)","n/e","1879","n/e","1534","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","299"
"Greece (GR)","02.01.2017 05:00 - 02.01.2017 06:00 (CET)","n/e","1992","n/e","1839","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","268"
"Greece (GR)","02.01.2017 06:00 - 02.01.2017 07:00 (CET)","n/e","2134","n/e","1983","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e","223"
"Greece (GR)","02.01.2017 07:00 - 02.01.2017 08:00 (CET)","n/e","2151","n/e","2272","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","253","n/e","n/e","225"
"Greece (GR)","02.01.2017 08:00 - 02.01.2017 09:00 (CET)","n/e","2197","n/e","2349","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","652","n/e","n/e","215"
