"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GR","01.01.2020 00:00 - 01.01.2020 01:00 (CET)","n/e","1115","n/e","1609","n/e","0","n/e","n/e","n/e","0","","n/e","455","n/e","n/e","n/e","n/e","0","n/e","n/e","295"
"BZN|GR","01.01.2020 01:00 - 01.01.2020 02:00 (CET)","n/e","1110","n/e","1455","n/e","0","n/e","n/e","n/e","0","","n/e","476","n/e","n/e","n/e","n/e","0","n/e","n/e","311"
"BZN|GR","01.01.2020 02:00 - 01.01.2020 03:00 (CET)","n/e","1111","n/e","1258","n/e","0","n/e","n/e","n/e","0","","n/e","357","n/e","n/e","n/e","n/e","0","n/e","n/e","307"
"BZN|GR","01.01.2020 03:00 - 01.01.2020 04:00 (CET)","n/e","1110","n/e","1106","n/e","0","n/e","n/e","n/e","0","","n/e","238","n/e","n/e","n/e","n/e","0","n/e","n/e","361"
"BZN|GR","01.01.2020 04:00 - 01.01.2020 05:00 (CET)","n/e","1109","n/e","1014","n/e","0","n/e","n/e","n/e","0","","n/e","174","n/e","n/e","n/e","n/e","0","n/e","n/e","445"
"BZN|GR","01.01.2020 05:00 - 01.01.2020 06:00 (CET)","n/e","1109","n/e","1012","n/e","0","n/e","n/e","n/e","0","","n/e","170","n/e","n/e","n/e","n/e","0","n/e","n/e","558"
"BZN|GR","01.01.2020 06:00 - 01.01.2020 07:00 (CET)","n/e","1117","n/e","1013","n/e","0","n/e","n/e","n/e","0","","n/e","133","n/e","n/e","n/e","n/e","1","n/e","n/e","662"
"BZN|GR","01.01.2020 07:00 - 01.01.2020 08:00 (CET)","n/e","1109","n/e","1013","n/e","0","n/e","n/e","n/e","0","","n/e","151","n/e","n/e","n/e","n/e","132","n/e","n/e","722"
"BZN|GR","01.01.2020 08:00 - 01.01.2020 09:00 (CET)","n/e","1108","n/e","1049","n/e","0","n/e","n/e","n/e","0","","n/e","145","n/e","n/e","n/e","n/e","549","n/e","n/e","756"
"BZN|GR","01.01.2020 09:00 - 01.01.2020 10:00 (CET)","n/e","1110","n/e","1219","n/e","0","n/e","n/e","n/e","0","","n/e","170","n/e","n/e","n/e","n/e","899","n/e","n/e","740"
"BZN|GR","01.01.2020 10:00 - 01.01.2020 11:00 (CET)","n/e","1137","n/e","1456","n/e","0","n/e","n/e","n/e","0","","n/e","198","n/e","n/e","n/e","n/e","1167","n/e","n/e","733"
"BZN|GR","01.01.2020 11:00 - 01.01.2020 12:00 (CET)","n/e","1137","n/e","1410","n/e","0","n/e","n/e","n/e","0","","n/e","196","n/e","n/e","n/e","n/e","1241","n/e","n/e","825"
"BZN|GR","01.01.2020 12:00 - 01.01.2020 13:00 (CET)","n/e","1104","n/e","1168","n/e","0","n/e","n/e","n/e","0","","n/e","143","n/e","n/e","n/e","n/e","1124","n/e","n/e","950"
"BZN|GR","01.01.2020 13:00 - 01.01.2020 14:00 (CET)","n/e","1110","n/e","1075","n/e","0","n/e","n/e","n/e","0","","n/e","61","n/e","n/e","n/e","n/e","865","n/e","n/e","1076"
"BZN|GR","01.01.2020 14:00 - 01.01.2020 15:00 (CET)","n/e","1113","n/e","1207","n/e","0","n/e","n/e","n/e","0","","n/e","65","n/e","n/e","n/e","n/e","465","n/e","n/e","1132"
"BZN|GR","01.01.2020 15:00 - 01.01.2020 16:00 (CET)","n/e","1108","n/e","1373","n/e","0","n/e","n/e","n/e","0","","n/e","223","n/e","n/e","n/e","n/e","132","n/e","n/e","1164"
"BZN|GR","01.01.2020 16:00 - 01.01.2020 17:00 (CET)","n/e","1095","n/e","1553","n/e","0","n/e","n/e","n/e","0","","n/e","278","n/e","n/e","n/e","n/e","2","n/e","n/e","1290"
"BZN|GR","01.01.2020 17:00 - 01.01.2020 18:00 (CET)","n/e","1093","n/e","1930","n/e","0","n/e","n/e","n/e","43","","n/e","364","n/e","n/e","n/e","n/e","0","n/e","n/e","1301"
"BZN|GR","01.01.2020 18:00 - 01.01.2020 19:00 (CET)","n/e","1088","n/e","1668","n/e","0","n/e","n/e","n/e","86","","n/e","632","n/e","n/e","n/e","n/e","0","n/e","n/e","1294"
"BZN|GR","01.01.2020 19:00 - 01.01.2020 20:00 (CET)","n/e","1080","n/e","1648","n/e","0","n/e","n/e","n/e","206","","n/e","633","n/e","n/e","n/e","n/e","0","n/e","n/e","1286"
"BZN|GR","01.01.2020 20:00 - 01.01.2020 21:00 (CET)","n/e","1090","n/e","1480","n/e","0","n/e","n/e","n/e","308","","n/e","431","n/e","n/e","n/e","n/e","0","n/e","n/e","1292"
"BZN|GR","01.01.2020 21:00 - 01.01.2020 22:00 (CET)","n/e","1093","n/e","1436","n/e","0","n/e","n/e","n/e","117","","n/e","257","n/e","n/e","n/e","n/e","0","n/e","n/e","1305"
"BZN|GR","01.01.2020 22:00 - 01.01.2020 23:00 (CET)","n/e","1093","n/e","1229","n/e","0","n/e","n/e","n/e","133","","n/e","186","n/e","n/e","n/e","n/e","0","n/e","n/e","1286"
"BZN|GR","01.01.2020 23:00 - 02.01.2020 00:00 (CET)","n/e","1167","n/e","839","n/e","0","n/e","n/e","n/e","121","","n/e","201","n/e","n/e","n/e","n/e","0","n/e","n/e","1239"
"BZN|GR","02.01.2020 00:00 - 02.01.2020 01:00 (CET)","n/e","1149","n/e","749","n/e","0","n/e","n/e","n/e","0","","n/e","125","n/e","n/e","n/e","n/e","0","n/e","n/e","1213"
"BZN|GR","02.01.2020 01:00 - 02.01.2020 02:00 (CET)","n/e","1106","n/e","792","n/e","0","n/e","n/e","n/e","0","","n/e","138","n/e","n/e","n/e","n/e","0","n/e","n/e","1178"
"BZN|GR","02.01.2020 02:00 - 02.01.2020 03:00 (CET)","n/e","1095","n/e","698","n/e","0","n/e","n/e","n/e","0","","n/e","59","n/e","n/e","n/e","n/e","0","n/e","n/e","1238"
"BZN|GR","02.01.2020 03:00 - 02.01.2020 04:00 (CET)","n/e","1097","n/e","691","n/e","0","n/e","n/e","n/e","0","","n/e","58","n/e","n/e","n/e","n/e","0","n/e","n/e","1287"
"BZN|GR","02.01.2020 04:00 - 02.01.2020 05:00 (CET)","n/e","1100","n/e","610","n/e","0","n/e","n/e","n/e","0","","n/e","49","n/e","n/e","n/e","n/e","0","n/e","n/e","1315"
