"Time (CET)","Day-ahead Total Load Forecast [MW] - Greece (GR)","Actual Total Load [MW] - Greece (GR)"
"01.01.2018 00:00 - 01.01.2018 01:00","5087","5141"
"01.01.2018 01:00 - 01.01.2018 02:00","4958","5043"
"01.01.2018 02:00 - 01.01.2018 03:00","4627","4768"
"01.01.2018 03:00 - 01.01.2018 04:00","4386","4510"
"01.01.2018 04:00 - 01.01.2018 05:00","4285","4445"
"01.01.2018 05:00 - 01.01.2018 06:00","4306","4516"
"01.01.2018 06:00 - 01.01.2018 07:00","4383","4572"
"01.01.2018 07:00 - 01.01.2018 08:00","4680","4728"
"01.01.2018 08:00 - 01.01.2018 09:00","5263","5134"
"01.01.2018 09:00 - 01.01.2018 10:00","5882","5551"
"01.01.2018 10:00 - 01.01.2018 11:00","6250","5899"
"01.01.2018 11:00 - 01.01.2018 12:00","6283","5945"
"01.01.2018 12:00 - 01.01.2018 13:00","5922","5670"
"01.01.2018 13:00 - 01.01.2018 14:00","5342","5123"
"01.01.2018 14:00 - 01.01.2018 15:00","5380","5121"
"01.01.2018 15:00 - 01.01.2018 16:00","5486","5173"
"01.01.2018 16:00 - 01.01.2018 17:00","5787","5502"
"01.01.2018 17:00 - 01.01.2018 18:00","6270","6104"
"01.01.2018 18:00 - 01.01.2018 19:00","6393","6199"
"01.01.2018 19:00 - 01.01.2018 20:00","6353","6160"
"01.01.2018 20:00 - 01.01.2018 21:00","6172","6013"
"01.01.2018 21:00 - 01.01.2018 22:00","5900","5693"
"01.01.2018 22:00 - 01.01.2018 23:00","5650","5391"
"01.01.2018 23:00 - 02.01.2018 00:00","5147","4939"
"02.01.2018 00:00 - 02.01.2018 01:00","4726","4513"
"02.01.2018 01:00 - 02.01.2018 02:00","4687","4447"
"02.01.2018 02:00 - 02.01.2018 03:00","4497","4245"
"02.01.2018 03:00 - 02.01.2018 04:00","4355","4094"
"02.01.2018 04:00 - 02.01.2018 05:00","4426","4157"
"02.01.2018 05:00 - 02.01.2018 06:00","4744","4476"
"02.01.2018 06:00 - 02.01.2018 07:00","5198","4878"
"02.01.2018 07:00 - 02.01.2018 08:00","5548","5335"
"02.01.2018 08:00 - 02.01.2018 09:00","5913","5890"
"02.01.2018 09:00 - 02.01.2018 10:00","6101","6115"
"02.01.2018 10:00 - 02.01.2018 11:00","6175","6279"
"02.01.2018 11:00 - 02.01.2018 12:00","6239","6357"
"02.01.2018 12:00 - 02.01.2018 13:00","6233","6333"
"02.01.2018 13:00 - 02.01.2018 14:00","6073","6137"
"02.01.2018 14:00 - 02.01.2018 15:00","6186","6212"
"02.01.2018 15:00 - 02.01.2018 16:00","6275","6169"
"02.01.2018 16:00 - 02.01.2018 17:00","6654","6435"
"02.01.2018 17:00 - 02.01.2018 18:00","7101","6921"
"02.01.2018 18:00 - 02.01.2018 19:00","7092","7017"
"02.01.2018 19:00 - 02.01.2018 20:00","7002","6915"
"02.01.2018 20:00 - 02.01.2018 21:00","6681","6689"
"02.01.2018 21:00 - 02.01.2018 22:00","6259","6205"
"02.01.2018 22:00 - 02.01.2018 23:00","5859","5894"
"02.01.2018 23:00 - 03.01.2018 00:00","5341","5419"
"03.01.2018 00:00 - 03.01.2018 01:00","4880","4901"
"03.01.2018 01:00 - 03.01.2018 02:00","4839","4842"
"03.01.2018 02:00 - 03.01.2018 03:00","4660","4659"
"03.01.2018 03:00 - 03.01.2018 04:00","4548","4475"
"03.01.2018 04:00 - 03.01.2018 05:00","4618","4476"
"03.01.2018 05:00 - 03.01.2018 06:00","5068","4806"
"03.01.2018 06:00 - 03.01.2018 07:00","5641","5354"
"03.01.2018 07:00 - 03.01.2018 08:00","6205","5969"
"03.01.2018 08:00 - 03.01.2018 09:00","6581","6575"
"03.01.2018 09:00 - 03.01.2018 10:00","6663","6774"
"03.01.2018 10:00 - 03.01.2018 11:00","6739","6808"
"03.01.2018 11:00 - 03.01.2018 12:00","6779","6827"
"03.01.2018 12:00 - 03.01.2018 13:00","6756","6781"
"03.01.2018 13:00 - 03.01.2018 14:00","6613","6499"
"03.01.2018 14:00 - 03.01.2018 15:00","6776","6565"
"03.01.2018 15:00 - 03.01.2018 16:00","6899","6507"
"03.01.2018 16:00 - 03.01.2018 17:00","7202","6854"
"03.01.2018 17:00 - 03.01.2018 18:00","7743","7424"
"03.01.2018 18:00 - 03.01.2018 19:00","7744","7447"
"03.01.2018 19:00 - 03.01.2018 20:00","7595","7368"
"03.01.2018 20:00 - 03.01.2018 21:00","7124","6981"
"03.01.2018 21:00 - 03.01.2018 22:00","6572","6431"
"03.01.2018 22:00 - 03.01.2018 23:00","6111","6044"
"03.01.2018 23:00 - 04.01.2018 00:00","5439","5438"
"04.01.2018 00:00 - 04.01.2018 01:00","4908","4908"
"04.01.2018 01:00 - 04.01.2018 02:00","4839","4789"
"04.01.2018 02:00 - 04.01.2018 03:00","4638","4660"
"04.01.2018 03:00 - 04.01.2018 04:00","4537","4574"
"04.01.2018 04:00 - 04.01.2018 05:00","4587","4664"
"04.01.2018 05:00 - 04.01.2018 06:00","4986","5088"
"04.01.2018 06:00 - 04.01.2018 07:00","5586","5640"
"04.01.2018 07:00 - 04.01.2018 08:00","6144","6327"
"04.01.2018 08:00 - 04.01.2018 09:00","6677","7089"
"04.01.2018 09:00 - 04.01.2018 10:00","6915","7460"
"04.01.2018 10:00 - 04.01.2018 11:00","7117","7625"
"04.01.2018 11:00 - 04.01.2018 12:00","7213","7741"
"04.01.2018 12:00 - 04.01.2018 13:00","7260","7666"
"04.01.2018 13:00 - 04.01.2018 14:00","7067","7316"
"04.01.2018 14:00 - 04.01.2018 15:00","7141","7378"
"04.01.2018 15:00 - 04.01.2018 16:00","7119","7205"
"04.01.2018 16:00 - 04.01.2018 17:00","7348","7424"
"04.01.2018 17:00 - 04.01.2018 18:00","7840","7868"
"04.01.2018 18:00 - 04.01.2018 19:00","7841","7884"
"04.01.2018 19:00 - 04.01.2018 20:00","7671","7710"
"04.01.2018 20:00 - 04.01.2018 21:00","7190","7261"
"04.01.2018 21:00 - 04.01.2018 22:00","6639","6673"
"04.01.2018 22:00 - 04.01.2018 23:00","6189","6324"
"04.01.2018 23:00 - 05.01.2018 00:00","5556","5736"
"05.01.2018 00:00 - 05.01.2018 01:00","5055","5246"
"05.01.2018 01:00 - 05.01.2018 02:00","4986","5175"
"05.01.2018 02:00 - 05.01.2018 03:00","4836","5016"
"05.01.2018 03:00 - 05.01.2018 04:00","4736","4892"
"05.01.2018 04:00 - 05.01.2018 05:00","4805","4957"
"05.01.2018 05:00 - 05.01.2018 06:00","5164","5374"
"05.01.2018 06:00 - 05.01.2018 07:00","5672","5996"
"05.01.2018 07:00 - 05.01.2018 08:00","6298","6568"
"05.01.2018 08:00 - 05.01.2018 09:00","6880","7046"
"05.01.2018 09:00 - 05.01.2018 10:00","6970","7128"
"05.01.2018 10:00 - 05.01.2018 11:00","6952","7096"
"05.01.2018 11:00 - 05.01.2018 12:00","6971","6990"
"05.01.2018 12:00 - 05.01.2018 13:00","6937","6870"
"05.01.2018 13:00 - 05.01.2018 14:00","6747","6684"
"05.01.2018 14:00 - 05.01.2018 15:00","6902","6784"
"05.01.2018 15:00 - 05.01.2018 16:00","6937","6755"
"05.01.2018 16:00 - 05.01.2018 17:00","7147","7163"
"05.01.2018 17:00 - 05.01.2018 18:00","7718","7836"
"05.01.2018 18:00 - 05.01.2018 19:00","7740","7880"
"05.01.2018 19:00 - 05.01.2018 20:00","7640","7745"
"05.01.2018 20:00 - 05.01.2018 21:00","7159","7361"
"05.01.2018 21:00 - 05.01.2018 22:00","6617","6747"
"05.01.2018 22:00 - 05.01.2018 23:00","6188","6419"
"05.01.2018 23:00 - 06.01.2018 00:00","5566","5823"
"06.01.2018 00:00 - 06.01.2018 01:00","5076","5242"
"06.01.2018 01:00 - 06.01.2018 02:00","5007","5170"
"06.01.2018 02:00 - 06.01.2018 03:00","4796","4969"
"06.01.2018 03:00 - 06.01.2018 04:00","4626","4808"
"06.01.2018 04:00 - 06.01.2018 05:00","4585","4812"
"06.01.2018 05:00 - 06.01.2018 06:00","4644","4909"
"06.01.2018 06:00 - 06.01.2018 07:00","4663","5056"
"06.01.2018 07:00 - 06.01.2018 08:00","4932","5313"
"06.01.2018 08:00 - 06.01.2018 09:00","5277","5603"
"06.01.2018 09:00 - 06.01.2018 10:00","5606","5800"
"06.01.2018 10:00 - 06.01.2018 11:00","5929","6122"
"06.01.2018 11:00 - 06.01.2018 12:00","6147","6329"
"06.01.2018 12:00 - 06.01.2018 13:00","6035","6268"
"06.01.2018 13:00 - 06.01.2018 14:00","5532","5873"
"06.01.2018 14:00 - 06.01.2018 15:00","5585","5886"
"06.01.2018 15:00 - 06.01.2018 16:00","5624","5888"
"06.01.2018 16:00 - 06.01.2018 17:00","5848","6226"
"06.01.2018 17:00 - 06.01.2018 18:00","6540","6883"
"06.01.2018 18:00 - 06.01.2018 19:00","6631","6982"
"06.01.2018 19:00 - 06.01.2018 20:00","6561","6873"
"06.01.2018 20:00 - 06.01.2018 21:00","6270","6601"
"06.01.2018 21:00 - 06.01.2018 22:00","5899","6181"
"06.01.2018 22:00 - 06.01.2018 23:00","5689","5872"
"06.01.2018 23:00 - 07.01.2018 00:00","5482","5440"
"07.01.2018 00:00 - 07.01.2018 01:00","5012","5002"
"07.01.2018 01:00 - 07.01.2018 02:00","4933","4915"
"07.01.2018 02:00 - 07.01.2018 03:00","4732","4711"
"07.01.2018 03:00 - 07.01.2018 04:00","4531","4564"
"07.01.2018 04:00 - 07.01.2018 05:00","4441","4559"
"07.01.2018 05:00 - 07.01.2018 06:00","4570","4685"
"07.01.2018 06:00 - 07.01.2018 07:00","4734","4810"
"07.01.2018 07:00 - 07.01.2018 08:00","5061","4975"
"07.01.2018 08:00 - 07.01.2018 09:00","5560","5411"
"07.01.2018 09:00 - 07.01.2018 10:00","6021","5886"
"07.01.2018 10:00 - 07.01.2018 11:00","6357","6265"
"07.01.2018 11:00 - 07.01.2018 12:00","6475","6361"
"07.01.2018 12:00 - 07.01.2018 13:00","6322","6206"
"07.01.2018 13:00 - 07.01.2018 14:00","5875","5831"
"07.01.2018 14:00 - 07.01.2018 15:00","5931","5862"
"07.01.2018 15:00 - 07.01.2018 16:00","5941","5878"
"07.01.2018 16:00 - 07.01.2018 17:00","6192","6284"
"07.01.2018 17:00 - 07.01.2018 18:00","6935","6950"
"07.01.2018 18:00 - 07.01.2018 19:00","7086","6983"
"07.01.2018 19:00 - 07.01.2018 20:00","7036","6920"
"07.01.2018 20:00 - 07.01.2018 21:00","6815","6665"
