ParticipantID,BatteryChargeStartMonth,BatteryChargeStartDay,BatteryChargeStartHour,BatteryChargeStopMonth,BatteryChargeStopDay,BatteryChargeStopHour,ChargingTime(min),Starting_SoC,Ending_SoC,SoC_Diff
GC10,2,16,16,2,16,17,60.0,0.08,0.92,0.84
GC10,2,16,18,2,16,19,40.0,0.17,0.92,0.75
GC10,2,17,8,2,17,15,467.0,0.33,1.0,0.67
GC10,2,18,7,2,18,9,131.0,0.42,0.67,0.25
GC10,2,18,15,2,18,15,3.0,0.33,0.33,0.0
GC10,2,18,16,2,18,17,60.0,0.17,0.83,0.66
GC10,2,18,21,2,19,1,269.0,0.67,1.0,0.33
GC10,2,19,8,2,19,14,328.0,0.67,1.0,0.33
GC10,2,19,21,2,20,5,489.0,0.33,1.0,0.67
GC10,2,20,18,2,20,23,309.0,0.67,1.0,0.33
GC10,2,22,23,2,23,10,682.0,0.08,1.0,0.92
GC10,2,24,10,2,24,11,60.0,0.25,0.92,0.67
GC10,2,24,22,2,25,6,528.0,0.25,1.0,0.75
GC10,2,25,7,2,25,11,236.0,0.75,1.0,0.25
GC10,2,25,22,2,26,4,356.0,0.58,1.0,0.42
GC10,2,26,15,2,26,17,146.0,0.5,0.67,0.17
GC10,2,26,18,2,26,23,275.0,0.67,1.0,0.33
GC10,2,27,9,2,27,15,405.0,0.5,1.0,0.5
GC10,2,28,23,3,1,8,585.0,0.17,1.0,0.83
GC10,3,1,17,3,1,22,326.0,0.58,1.0,0.42
GC10,3,2,23,3,3,7,446.0,0.25,0.92,0.67
GC10,3,4,8,3,4,10,85.0,0.5,0.67,0.17
GC10,3,4,22,3,5,3,323.0,0.67,1.0,0.33
GC10,3,5,16,3,5,17,55.0,1.0,1.0,0.0
GC10,3,5,21,3,6,2,296.0,0.67,1.0,0.33
GC10,3,6,9,3,6,10,15.0,0.75,0.75,0.0
GC10,3,6,10,3,6,14,257.0,0.75,1.0,0.25
GC10,3,6,17,3,6,18,6.0,0.17,0.33,0.16
GC10,3,6,18,3,6,18,53.0,0.33,0.92,0.59
GC10,3,6,20,3,6,20,29.0,0.25,0.83,0.58
GC10,3,8,13,3,8,14,60.0,0.17,0.83,0.66
GC10,3,9,18,3,9,19,59.0,0.17,0.83,0.66
