Date,Year,Month_of_Year,Day_of_Week,Time_of_Day,Lignite_Gen(MW),FossilGas_Gen(MW),Solar_Gen(MW),Wind_Gen(MW),Total_Load(MW),Import_Export(MW)
2020-01-01,2020,1,3,1,1115.0,1609.0,0.0,295.0,5337.0,2318.0
2020-01-01,2020,1,3,2,1110.0,1455.0,0.0,311.0,5219.0,2343.0
2020-01-01,2020,1,3,3,1111.0,1258.0,0.0,307.0,4910.0,2234.0
2020-01-01,2020,1,3,4,1110.0,1106.0,0.0,361.0,4677.0,2100.0
2020-01-01,2020,1,3,5,1109.0,1014.0,0.0,445.0,4572.0,2004.0
2020-01-01,2020,1,3,6,1109.0,1012.0,0.0,558.0,4630.0,1951.0
2020-01-01,2020,1,3,7,1117.0,1013.0,1.0,662.0,4720.0,1927.0
2020-01-01,2020,1,3,8,1109.0,1013.0,132.0,722.0,4909.0,1933.0
2020-01-01,2020,1,3,9,1108.0,1049.0,549.0,756.0,5405.0,1943.0
2020-01-01,2020,1,3,10,1110.0,1219.0,899.0,740.0,5984.0,2016.0
2020-01-01,2020,1,3,11,1137.0,1456.0,1167.0,733.0,6549.0,2056.0
2020-01-01,2020,1,3,12,1137.0,1410.0,1241.0,825.0,6657.0,2044.0
2020-01-01,2020,1,3,13,1104.0,1168.0,1124.0,950.0,6326.0,1980.0
2020-01-01,2020,1,3,14,1110.0,1075.0,865.0,1076.0,5740.0,1614.0
2020-01-01,2020,1,3,15,1113.0,1207.0,465.0,1132.0,5722.0,1805.0
2020-01-01,2020,1,3,16,1108.0,1373.0,132.0,1164.0,5813.0,2036.0
2020-01-01,2020,1,3,17,1095.0,1553.0,2.0,1290.0,5984.0,2044.0
2020-01-01,2020,1,3,18,1093.0,1930.0,0.0,1301.0,6424.0,2100.0
2020-01-01,2020,1,3,19,1088.0,1668.0,0.0,1294.0,6449.0,2399.0
2020-01-01,2020,1,3,20,1080.0,1648.0,0.0,1286.0,6425.0,2411.0
2020-01-01,2020,1,3,21,1090.0,1480.0,0.0,1292.0,6233.0,2371.0
2020-01-01,2020,1,3,22,1093.0,1436.0,0.0,1305.0,5919.0,2085.0
2020-01-01,2020,1,3,23,1093.0,1229.0,0.0,1286.0,5613.0,2005.0
2020-01-01,2020,1,3,24,1167.0,839.0,0.0,1239.0,5102.0,1857.0
2020-01-02,2020,1,4,1,1149.0,749.0,0.0,1213.0,4625.0,1514.0
2020-01-02,2020,1,4,2,1106.0,792.0,0.0,1178.0,4505.0,1429.0
2020-01-02,2020,1,4,3,1095.0,698.0,0.0,1238.0,4321.0,1290.0
2020-01-02,2020,1,4,4,1097.0,691.0,0.0,1287.0,4203.0,1128.0
2020-01-02,2020,1,4,5,1100.0,610.0,0.0,1315.0,4242.0,1217.0
2020-01-02,2020,1,4,6,1119.0,631.0,0.0,1353.0,4631.0,1528.0
2020-01-02,2020,1,4,7,1201.0,679.0,1.0,1347.0,5158.0,1930.0
2020-01-02,2020,1,4,8,1178.0,951.0,127.0,1344.0,5741.0,2141.0
2020-01-02,2020,1,4,9,1223.0,1194.0,577.0,1332.0,6474.0,2148.0
2020-01-02,2020,1,4,10,1321.0,1180.0,988.0,1364.0,6958.0,2105.0
2020-01-02,2020,1,4,11,1342.0,1104.0,1184.0,1368.0,7147.0,2149.0
2020-01-02,2020,1,4,12,1354.0,1063.0,1307.0,1338.0,7320.0,2258.0
